id	Ct	tipo	plataforma
sample_1	17.81	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	16.03	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	19.59	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	16.99	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	18.72	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	22.63	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	21.63	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	16.56	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	19.35	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	20.78	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	NA	PCR	Ion Torrent
sample_2	16	N	Ion Torrent
sample_2	19	ORF	Ion Torrent
sample_2	19	S	Ion Torrent
sample_2	NA	PCR	Ion Torrent
sample_2	15	N	Ion Torrent
sample_2	18	ORF	Ion Torrent
sample_2	18	S	Ion Torrent
sample_2	NA	PCR	Ion Torrent
sample_2	18	N	Ion Torrent
sample_2	20	ORF	Ion Torrent
sample_2	19	S	Ion Torrent
sample_2	NA	PCR	Ion Torrent
sample_2	18	N	Ion Torrent
sample_2	20	ORF	Ion Torrent
sample_2	21	S	Ion Torrent
sample_2	NA	PCR	Ion Torrent
sample_2	18	N	Ion Torrent
sample_2	21	ORF	Ion Torrent
sample_2	22	S	Ion Torrent
sample_2	NA	PCR	Ion Torrent
sample_2	23	N	Ion Torrent
sample_2	26	ORF	Ion Torrent
sample_2	NA	S	Ion Torrent
sample_2	NA	PCR	Ion Torrent
sample_2	23	N	Ion Torrent
sample_2	26	ORF	Ion Torrent
sample_2	36	S	Ion Torrent
sample_2	NA	PCR	Ion Torrent
sample_2	16	N	Ion Torrent
sample_2	19	ORF	Ion Torrent
sample_2	NA	S	Ion Torrent
sample_2	NA	PCR	Ion Torrent
sample_2	14	N	Ion Torrent
sample_2	17	ORF	Ion Torrent
sample_2	NA	S	Ion Torrent
sample_2	NA	PCR	Ion Torrent
sample_2	17	N	Ion Torrent
sample_2	21	ORF	Ion Torrent
sample_2	35	S	Ion Torrent
sample_2	22	PCR	Illumina
sample_2	NA	N	Illumina
sample_3	NA	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	20	PCR	Illumina
sample_3	NA	N	Illumina
sample_3	NA	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	24	PCR	Illumina
