id	muestra2	plataforma	mean_depth
COD_2103	sample_1	Illumina	NA
COD_2103	sample_2	Illumina	NA
COD_2103	sample_3	Illumina	NA
COD_2103	sample_4	Illumina	NA
COD_2103	sample_5	Illumina	NA
COD_2103	sample_6	Illumina	NA
COD_2103	sample_7	Illumina	NA
COD_2103	sample_8	Illumina	NA
COD_2103	sample_9	Illumina	NA
COD_2103	sample_10	Illumina	NA
COD_2106	sample_7	Nanopore	NA
COD_2107_2	sample_7	Nanopore	NA
COD_2108	sample_7	Illumina	NA
COD_2110	sample_7	Illumina	NA
COD_2111	sample_7	Illumina	NA
COD_2116	sample_7	Illumina	NA
COD_2117	sample_7	Illumina	NA
COD_2117_2	sample_7	Illumina	NA
COD_2121	sample_7	Illumina	NA
COD_2124	sample_7	Illumina	NA
COD_2124_2	sample_7	Illumina	NA
COD_2127	sample_7	Ion Torrent	NA
