n3	n4	n2	lineage	version
213095	NA	_045512.2	B.1.621	v3.1.16
COD_2117_protocol2_10	NA	_045512.2	AY.43	v3.1.16
COD_2117_protocol2_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2117_protocol2_2	NA	_045512.2	B.1.351	v3.1.16
COD_2117_protocol2_3	NA	_045512.2	A.28	v3.1.16
COD_2117_protocol2_4	NA	_045512.2	B.1.621	v3.1.16
COD_2117_protocol2_5	NA	_045512.2	P.1	v3.1.16
COD_2117_protocol2_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2117_protocol2_8	NA	_045512.2	AY.94	v3.1.16
COD_2117_protocol2_9	NA	_045512.2	AY.94	v3.1.16
COD_2141_10	NA	_045512.2	AY.43	v3.1.16
COD_2141_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2141_2	NA	_045512.2	B.1.351	v3.1.16
COD_2141_3	NA	_045512.2	A.28	v3.1.16
COD_2141_4	NA	_045512.2	B.1.621	v3.1.16
COD_2141_5	NA	_045512.2	P.1	v3.1.16
COD_2141_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2141_7	NA	_045512.2	AY.43	v3.1.16
COD_2141_8	NA	_045512.2	AY.94	v3.1.16
COD_2141_9	NA	_045512.2	AY.94	v3.1.16
210153_P4_CC	NA	_045512.2	B.1.1.7	v3.1.16
211761_P2_CC	NA	_045512.2	B.1.351	v3.1.16
211779_P2_CC	NA	_045512.2	A.28	v3.1.16
213095_P2_CC	NA	_045512.2	B.1.621	v3.1.16
214098_P2__CC	NA	_045512.2	P.1	v3.1.16
217623_P2_CC	NA	_045512.2	AY.9.2	v3.1.16
217690_CC	NA	_045512.2	AY.53	v3.1.16
217737_CC	NA	_045512.2	AY.43	v3.1.16
COD_2106_Illumina_10	NA	_045512.2	AY.43	v3.1.16
COD_2106_Illumina_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2106_Illumina_2	NA	_045512.2	B.1.351	v3.1.16
COD_2106_Illumina_3	NA	_045512.2	A.28	v3.1.16
COD_2106_Illumina_4	NA	_045512.2	B.1.621	v3.1.16
COD_2106_Illumina_5	NA	_045512.2	P.1	v3.1.16
COD_2106_Illumina_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2106_Illumina_8	NA	_045512.2	AY.94	v3.1.16
COD_2106_Illumina_9	NA	_045512.2	AY.94	v3.1.16
COD_2107_10	NA	_045512.2	AY.43	v3.1.16
COD_2107_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2107_2	NA	_045512.2	B.1.351	v3.1.16
COD_2107_3	NA	_045512.2	A.28	v3.1.16
COD_2107_4	NA	_045512.2	B.1.621	v3.1.16
COD_2107_5	NA	_045512.2	P.1	v3.1.16
COD_2107_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2107_7	NA	_045512.2	AY.43	v3.1.16
COD_2107_8	NA	_045512.2	AY.94	v3.1.16
COD_2107_9	NA	_045512.2	AY.94	v3.1.16
COD_2108_10	NA	_045512.2	AY.43	v3.1.16
COD_2108_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2108_2	NA	_045512.2	B.1.351	v3.1.16
COD_2108_3	NA	_045512.2	A.28	v3.1.16
COD_2108_4	NA	_045512.2	B.1.621	v3.1.16
COD_2108_5	NA	_045512.2	P.1	v3.1.16
COD_2108_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2108_8	NA	_045512.2	AY.94	v3.1.16
COD_2108_9	NA	_045512.2	AY.94	v3.1.16
COD_2110_10	NA	_045512.2	AY.43	v3.1.16
COD_2110_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2110_2	NA	_045512.2	B.1.351	v3.1.16
COD_2110_3	NA	_045512.2	A.28	v3.1.16
COD_2110_4	NA	_045512.2	B.1.621	v3.1.16
COD_2110_5	NA	_045512.2	P.1	v3.1.16
COD_2110_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2110_8	NA	_045512.2	AY.94	v3.1.16
COD_2110_9	NA	_045512.2	AY.94	v3.1.16
COD_2112_10	NA	_045512.2	AY.43	v3.1.16
COD_2112_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2112_2	NA	_045512.2	B.1.351	v3.1.16
COD_2112_3	NA	_045512.2	A.28	v3.1.16
COD_2112_4	NA	_045512.2	B.1.621	v3.1.16
COD_2112_5	NA	_045512.2	P.1	v3.1.16
COD_2112_6	NA	_045512.2	None	v3.1.16
COD_2112_7	NA	_045512.2	None	v3.1.16
COD_2112_8	NA	_045512.2	AY.94	v3.1.16
COD_2112_9	NA	_045512.2	AY.94	v3.1.16
COD_2113_10	NA	_045512.2	AY.43	v3.1.16
COD_2113_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2113_2	NA	_045512.2	B.1.351	v3.1.16
COD_2113_3	NA	_045512.2	A.28	v3.1.16
COD_2113_4	NA	_045512.2	B.1.621	v3.1.16
COD_2113_5	NA	_045512.2	P.1	v3.1.16
COD_2113_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2113_8	NA	_045512.2	AY.94	v3.1.16
COD_2113_9	NA	_045512.2	AY.94	v3.1.16
COD_2114_10	NA	_045512.2	AY.43	v3.1.16
COD_2114_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2114_2	NA	_045512.2	B.1.351	v3.1.16
COD_2114_3	NA	_045512.2	A.28	v3.1.16
COD_2114_4	NA	_045512.2	B.1.621	v3.1.16
COD_2114_5	NA	_045512.2	P.1.15	v3.1.16
