n5	n6	n7	n8	n4	n2	lineage	version
COD	2117	protocol2	10	NA	_045512.2	AY.43	v3.1.16
COD	2117	protocol2	1	NA	_045512.2	B.1.1.7	v3.1.16
COD	2117	protocol2	2	NA	_045512.2	B.1.351	v3.1.16
COD	2117	protocol2	3	NA	_045512.2	A.28	v3.1.16
COD	2117	protocol2	4	NA	_045512.2	B.1.621	v3.1.16
COD	2117	protocol2	5	NA	_045512.2	P.1	v3.1.16
COD	2117	protocol2	6	NA	_045512.2	AY.9.2	v3.1.16
COD	2117	protocol2	8	NA	_045512.2	AY.94	v3.1.16
COD	2117	protocol2	9	NA	_045512.2	AY.94	v3.1.16
COD	2141	10	NA	NA	_045512.2	AY.43	v3.1.16
COD	2141	1	NA	NA	_045512.2	B.1.1.7	v3.1.16
COD	2141	2	NA	NA	_045512.2	B.1.351	v3.1.16
COD	2141	3	NA	NA	_045512.2	A.28	v3.1.16
COD	2141	4	NA	NA	_045512.2	B.1.621	v3.1.16
COD	2141	5	NA	NA	_045512.2	P.1	v3.1.16
COD	2141	6	NA	NA	_045512.2	AY.9.2	v3.1.16
COD	2141	7	NA	NA	_045512.2	AY.43	v3.1.16
COD	2141	8	NA	NA	_045512.2	AY.94	v3.1.16
COD	2141	9	NA	NA	_045512.2	AY.94	v3.1.16
COD	2106	Illumina	10	NA	_045512.2	AY.43	v3.1.16
COD	2106	Illumina	1	NA	_045512.2	B.1.1.7	v3.1.16
COD	2106	Illumina	2	NA	_045512.2	B.1.351	v3.1.16
COD	2106	Illumina	3	NA	_045512.2	A.28	v3.1.16
COD	2106	Illumina	4	NA	_045512.2	B.1.621	v3.1.16
COD	2106	Illumina	5	NA	_045512.2	P.1	v3.1.16
COD	2106	Illumina	6	NA	_045512.2	AY.9.2	v3.1.16
COD	2106	Illumina	8	NA	_045512.2	AY.94	v3.1.16
COD	2106	Illumina	9	NA	_045512.2	AY.94	v3.1.16
COD	2107	10	NA	NA	_045512.2	AY.43	v3.1.16
COD	2107	1	NA	NA	_045512.2	B.1.1.7	v3.1.16
COD	2107	2	NA	NA	_045512.2	B.1.351	v3.1.16
COD	2107	3	NA	NA	_045512.2	A.28	v3.1.16
COD	2107	4	NA	NA	_045512.2	B.1.621	v3.1.16
COD	2107	5	NA	NA	_045512.2	P.1	v3.1.16
COD	2107	6	NA	NA	_045512.2	AY.9.2	v3.1.16
COD	2107	7	NA	NA	_045512.2	AY.43	v3.1.16
COD	2107	8	NA	NA	_045512.2	AY.94	v3.1.16
COD	2107	9	NA	NA	_045512.2	AY.94	v3.1.16
COD	2108	10	NA	NA	_045512.2	AY.43	v3.1.16
COD	2108	1	NA	NA	_045512.2	B.1.1.7	v3.1.16
COD	2108	2	NA	NA	_045512.2	B.1.351	v3.1.16
COD	2108	3	NA	NA	_045512.2	A.28	v3.1.16
COD	2108	4	NA	NA	_045512.2	B.1.621	v3.1.16
COD	2108	5	NA	NA	_045512.2	P.1	v3.1.16
COD	2108	6	NA	NA	_045512.2	AY.9.2	v3.1.16
COD	2108	8	NA	NA	_045512.2	AY.94	v3.1.16
COD	2108	9	NA	NA	_045512.2	AY.94	v3.1.16
COD	2110	10	NA	NA	_045512.2	AY.43	v3.1.16
COD	2110	1	NA	NA	_045512.2	B.1.1.7	v3.1.16
COD	2110	2	NA	NA	_045512.2	B.1.351	v3.1.16
COD	2110	3	NA	NA	_045512.2	A.28	v3.1.16
COD	2110	4	NA	NA	_045512.2	B.1.621	v3.1.16
COD	2110	5	NA	NA	_045512.2	P.1	v3.1.16
COD	2110	6	NA	NA	_045512.2	AY.9.2	v3.1.16
COD	2110	8	NA	NA	_045512.2	AY.94	v3.1.16
COD	2110	9	NA	NA	_045512.2	AY.94	v3.1.16
COD	2112	10	NA	NA	_045512.2	AY.43	v3.1.16
COD	2112	1	NA	NA	_045512.2	B.1.1.7	v3.1.16
COD	2112	2	NA	NA	_045512.2	B.1.351	v3.1.16
COD	2112	3	NA	NA	_045512.2	A.28	v3.1.16
COD	2112	4	NA	NA	_045512.2	B.1.621	v3.1.16
COD	2112	5	NA	NA	_045512.2	P.1	v3.1.16
COD	2112	6	NA	NA	_045512.2	None	v3.1.16
COD	2112	7	NA	NA	_045512.2	None	v3.1.16
COD	2112	8	NA	NA	_045512.2	AY.94	v3.1.16
COD	2112	9	NA	NA	_045512.2	AY.94	v3.1.16
COD	2113	10	NA	NA	_045512.2	AY.43	v3.1.16
COD	2113	1	NA	NA	_045512.2	B.1.1.7	v3.1.16
COD	2113	2	NA	NA	_045512.2	B.1.351	v3.1.16
COD	2113	3	NA	NA	_045512.2	A.28	v3.1.16
COD	2113	4	NA	NA	_045512.2	B.1.621	v3.1.16
COD	2113	5	NA	NA	_045512.2	P.1	v3.1.16
COD	2113	6	NA	NA	_045512.2	AY.9.2	v3.1.16
COD	2113	8	NA	NA	_045512.2	AY.94	v3.1.16
COD	2113	9	NA	NA	_045512.2	AY.94	v3.1.16
COD	2114	10	NA	NA	_045512.2	AY.43	v3.1.16
COD	2114	1	NA	NA	_045512.2	B.1.1.7	v3.1.16
COD	2114	2	NA	NA	_045512.2	B.1.351	v3.1.16
COD	2114	3	NA	NA	_045512.2	A.28	v3.1.16
COD	2114	4	NA	NA	_045512.2	B.1.621	v3.1.16
COD	2114	5	NA	NA	_045512.2	P.1.15	v3.1.16
COD	2114	6	NA	NA	_045512.2	AY.9.2	v3.1.16
COD	2114	8	NA	NA	_045512.2	AY.94	v3.1.16
COD	2114	9	NA	NA	_045512.2	AY.94	v3.1.16
COD	2116	10	NA	NA	_045512.2	AY.43	v3.1.16
COD	2116	1	NA	NA	_045512.2	B.1.1.7	v3.1.16
COD	2116	2	NA	NA	_045512.2	B.1.351	v3.1.16
COD	2116	3	NA	NA	_045512.2	A.28	v3.1.16
COD	2116	4	NA	NA	_045512.2	B.1.621	v3.1.16
COD	2116	5	NA	NA	_045512.2	P.1.14	v3.1.16
COD	2116	6	NA	NA	_045512.2	AY.9.2	v3.1.16
