id	muestra2	plataforma	qc10x
COD_2103	sample_7	Illumina	NA
COD_2105	sample_1	Ion Torrent	NA
COD_2105	sample_2	Ion Torrent	NA
COD_2105	sample_3	Ion Torrent	NA
COD_2105	sample_4	Ion Torrent	NA
COD_2105	sample_5	Ion Torrent	NA
COD_2105	sample_6	Ion Torrent	NA
COD_2105	sample_7	Ion Torrent	NA
COD_2105	sample_8	Ion Torrent	NA
COD_2105	sample_9	Ion Torrent	NA
COD_2105	sample_10	Ion Torrent	NA
COD_2106	sample_7	Nanopore	NA
COD_2107_2	sample_7	Nanopore	NA
COD_2108	sample_7	Illumina	NA
COD_2110	sample_7	Illumina	NA
COD_2111	sample_7	Illumina	NA
COD_2116	sample_7	Illumina	NA
COD_2117	sample_7	Illumina	NA
COD_2117_2	sample_1	Illumina	NA
COD_2117_2	sample_2	Illumina	NA
COD_2117_2	sample_3	Illumina	NA
COD_2117_2	sample_4	Illumina	NA
COD_2117_2	sample_5	Illumina	NA
COD_2117_2	sample_6	Illumina	NA
COD_2117_2	sample_7	Illumina	NA
COD_2117_2	sample_8	Illumina	NA
COD_2117_2	sample_9	Illumina	NA
COD_2117_2	sample_10	Illumina	NA
COD_2119	sample_1	Ion Torrent	NA
COD_2119	sample_2	Ion Torrent	NA
COD_2119	sample_3	Ion Torrent	NA
COD_2119	sample_4	Ion Torrent	NA
COD_2119	sample_5	Ion Torrent	NA
COD_2119	sample_6	Ion Torrent	NA
COD_2119	sample_7	Ion Torrent	NA
COD_2119	sample_8	Ion Torrent	NA
COD_2119	sample_9	Ion Torrent	NA
COD_2119	sample_10	Ion Torrent	NA
COD_2121	sample_7	Illumina	NA
COD_2122	sample_1	Illumina	NA
COD_2122	sample_2	Illumina	NA
COD_2122	sample_3	Illumina	NA
COD_2122	sample_4	Illumina	NA
COD_2122	sample_5	Illumina	NA
COD_2122	sample_6	Illumina	NA
COD_2122	sample_7	Illumina	NA
COD_2122	sample_8	Illumina	NA
COD_2122	sample_9	Illumina	NA
COD_2122	sample_10	Illumina	NA
COD_2123	sample_1	Illumina	NA
COD_2123	sample_2	Illumina	NA
COD_2123	sample_3	Illumina	NA
COD_2123	sample_4	Illumina	NA
COD_2123	sample_5	Illumina	NA
COD_2123	sample_6	Illumina	NA
COD_2123	sample_7	Illumina	NA
COD_2123	sample_8	Illumina	NA
COD_2123	sample_9	Illumina	NA
COD_2123	sample_10	Illumina	NA
COD_2124	sample_7	Illumina	NA
COD_2124_2	sample_7	Illumina	NA
COD_2127	sample_7	Ion Torrent	NA
COD_2131	sample_1	Illumina	NA
COD_2131	sample_2	Illumina	NA
COD_2131	sample_3	Illumina	NA
COD_2131	sample_4	Illumina	NA
COD_2131	sample_5	Illumina	NA
COD_2131	sample_6	Illumina	NA
COD_2131	sample_7	Illumina	NA
COD_2131	sample_8	Illumina	NA
COD_2131	sample_9	Illumina	NA
COD_2131	sample_10	Illumina	NA
COD_2132	sample_7	Illumina	NA
COD_2140	sample_1	Nanopore	NA
COD_2140	sample_2	Nanopore	NA
COD_2140	sample_3	Nanopore	NA
COD_2140	sample_4	Nanopore	NA
COD_2140	sample_5	Nanopore	NA
COD_2140	sample_6	Nanopore	NA
COD_2140	sample_7	Nanopore	NA
COD_2140	sample_8	Nanopore	NA
COD_2140	sample_9	Nanopore	NA
COD_2140	sample_10	Nanopore	NA
