taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
COD_2102_10,AY.43,0.0,1.0,Delta (B.1.617.2-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2102_1,B.1.1.7,0.0,0.9993290091702081,Alpha (B.1.1.7-like),0.956500,0.043500,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0
COD_2102_2,B.1.351,0.0,1.0,Beta (B.1.351-like),0.857100,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 0; Oth alleles 2
COD_2102_3,A.28,0.0,1.0,,,,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,
COD_2102_4,B.1.621,0.0,1.0,Mu (B.1.621-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 27; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2102_5,P.1,0.0,1.0,Gamma (P.1-like),0.875000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 2
COD_2102_6,AY.9.2,0.0,1.0,Delta (B.1.617.2-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2102_8,AY.94,0.0,1.0,Delta (B.1.617.2-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2102_9,AY.94,0.0,1.0,Delta (B.1.617.2-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2103_10,AY.43,0.0,0.9595348837209302,Delta (B.1.617.2-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2103_1,B.1.1.7,0.0,0.9957351290684624,Alpha (B.1.1.7-like),0.956500,0.043500,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0
COD_2103_2,B.1.351,0.0,0.9964109466128309,Beta (B.1.351-like),0.785700,0.071400,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 11; Ref alleles 1; Amb alleles 0; Oth alleles 2
COD_2103_3,A.28,0.0,0.9932493249324933,,,,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,
COD_2103_4,B.1.621,0.0,0.9957351290684624,Mu (B.1.621-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 27; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2103_5,P.1,0.0,0.9916610322289835,Gamma (P.1-like),0.875000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 2
COD_2103_6,AY.9.2,0.0,0.962189747158432,Delta (B.1.617.2-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2103_8,AY.94,0.0,0.9964109466128309,Delta (B.1.617.2-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2103_9,AY.94,0.0,0.9964109466128309,Delta (B.1.617.2-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2104_10,AY.43,0.0,1.0,Delta (B.1.617.2-like),1.000000,0.000000,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
COD_2104_1,B.1.1.7,0.0,0.9993290091702081,Alpha (B.1.1.7-like),0.956500,0.043500,PLEARN-v1.2.97,3.1.16,2021-11-18,v1.2.97,passed_qc,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0
